Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_New,Item_Category,Outlet_Years,Price_per_Unitwt,MRP_group,Item_Outlet_Sales
FDT09,15.15,Regular,0.012203915,Snack Foods,133.2284,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,8.79,medium,4350.3372
FDR60,14.3,Low Fat,0.130946374,Baking Goods,76.7328,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,5.37,medium,1312.9576
FDG22,17.6,Regular,0.041381156,Snack Foods,35.019,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,1.99,low,659.142
FDL52,6.635,Regular,0.04586701,Frozen Foods,37.9506,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,5.72,low,910.8144
DRJ39,20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,DR,1,10.78,very_high,2409.5302
FDW45,18.0,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,Small,Tier 2,Supermarket Type1,Not_Sure,FD,3,8.06,high,2648.5524
NCQ38,16.35,No_Fat,0.013393537,Others,106.028,OUT045,Small,Tier 2,Supermarket Type1,Not_Sure,NC,8,6.48,medium,1065.28
FDB26,14.0,Regular,0.031444357,Canned,53.764,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,3.84,low,798.96
DRG48,5.78,Low Fat,0.014555066,Soft Drinks,145.2102,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,DR,13,25.12,high,3062.0142
FDH10,21.0,Low Fat,0.082526478,Snack Foods,191.8478,OUT010,Small,Tier 3,Grocery Store,Not_Sure,FD,12,9.14,high,774.9912
FDP28,13.65,Regular,0.080765853,Frozen Foods,262.8936,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,19.26,very_high,4958.8784
FDJ44,12.3,Regular,0.17797002,Fruits and Vegetables,173.1396,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,14.08,high,697.7584
FDI07,12.35,Regular,0.03382933,Meat,196.9426,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,15.95,high,2768.3964
DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,15.69,high,2591.2936
DRL47,19.7,Low Fat,0.038729457,Hard Drinks,127.3362,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,6,6.46,medium,755.0172
FDP38,10.1,Low Fat,0.032075379,Canned,50.9008,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,5.04,low,354.2056
FDK02,12.5,Low Fat,0.196490902,Canned,120.544,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,9.64,medium,479.376
FDO23,17.85,Low Fat,0.146305498,Breads,94.1436,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,5.27,medium,1607.2412
NCE54,20.7,No_Fat,0.026877471,Household,74.6354,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,NC,23,3.61,medium,1053.2956
FDS52,8.89,Low Fat,0.005474515,Frozen Foods,99.7016,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,11.22,medium,1922.8304
FDW01,14.5,Low Fat,0.064048405,Canned,153.4682,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,10.58,high,1677.1502
NCF07,9.0,No_Fat,0.032203667,Household,100.8016,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,11.2,medium,1113.2176
DRE15,13.35,Low Fat,0.017857847,Dairy,77.5012,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,DR,1,5.81,medium,1518.024
FDR58,6.675,Low Fat,0.041921462,Snack Foods,92.3462,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,13.83,medium,2406.2012
FDL24,10.3,Regular,0.024875871,Baking Goods,173.0422,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,16.8,high,2069.3064
FDQ25,8.63,Regular,0.028139761,Canned,173.7422,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,20.13,high,3621.2862
FDX56,17.1,Regular,0.073997843,Fruits and Vegetables,207.0638,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,12.11,very_high,4969.5312
FDD20,14.15,Low Fat,0.020798905,Fruits and Vegetables,123.6046,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,8.74,medium,1245.046
DRF60,10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,21.9,very_high,5243.8408
FDW13,8.5,Low Fat,0.098283459,Canned,51.3324,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,6.04,low,934.7832
FDF09,6.215,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,6.32,low,521.9872
FDY45,17.5,Low Fat,0.02231451677777778,Snack Foods,253.0356,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,14.46,very_high,4578.0408
FDR26,20.7,Low Fat,0.042923652,Dairy,178.3028,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,8.61,high,1062.6168
FDZ01,8.975,Regular,0.009058845,Canned,103.399,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,11.52,medium,2579.975
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,4.1,medium,165.1184
FDG52,13.65,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,3.38,low,459.402
FDW50,13.1,Low Fat,0.075731322,Dairy,167.5158,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,12.79,high,1504.0422
FDX49,4.615,Regular,0.101812521,Canned,232.23,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,50.32,very_high,5126.66
FDJ44,12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,14.05,high,2616.594
NCI31,20.0,No_Fat,0.080933328,Others,37.519,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,NC,25,1.88,low,842.237
FDZ52,19.2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,5.86,medium,1223.0746
FDE17,20.1,Regular,0.054540159,Frozen Foods,152.1366,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,7.57,high,755.683
FDG34,11.5,Regular,0.037723476,Snack Foods,109.5254,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,9.52,medium,1953.4572
FDE26,9.3,Low Fat,0.14897741,Canned,143.0786,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,15.38,high,288.9572
FDD56,15.2,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,11.61,high,2976.7918
FDR52,12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,15.13,high,2675.1844
FDQ13,11.1,Low Fat,0.010639596,Canned,84.1908,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,7.58,medium,755.0172
NCJ42,19.75,No_Fat,0.025039776,Household,102.7332,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,NC,25,5.2,medium,410.1328
FDH10,21.0,Low Fat,0.086326707,Snack Foods,192.6478,OUT019,Small,Tier 1,Grocery Store,Not_Sure,FD,25,9.17,high,387.4956
NCG42,19.2,No_Fat,0.041220035,Household,131.231,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,6.83,medium,3635.268
FDT31,19.75,Low Fat,0.01247354,Fruits and Vegetables,187.5872,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,9.5,high,1323.6104
DRD25,6.135,Low Fat,0.079132212,Soft Drinks,112.686,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,8,18.37,medium,2942.836
FDR35,12.5,Low Fat,0.020693809,Breads,199.1742,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,15.93,high,4379.6324
FDL33,7.235,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,Small,Tier 2,Supermarket Type1,Not_Sure,FD,8,26.81,high,2936.178
FDT45,15.85,Low Fat,0.057302606,Snack Foods,53.3956,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,3.37,low,600.5516
FDT16,9.895,Regular,0.048761046,Frozen Foods,260.5278,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,26.33,very_high,8851.1452
DRE49,20.75,Low Fat,0.018148152222222224,Soft Drinks,153.0024,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,6,7.37,high,2428.8384
DRF60,10.8,Low Fat,0.052149675,Soft Drinks,239.9564,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,DR,11,22.22,very_high,3813.7024
NCB54,8.76,No_Fat,0.050130529,Health and Hygiene,128.3336,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,14.65,medium,2556.672
FDH20,16.1,Regular,0.024987903,Fruits and Vegetables,97.341,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,6.05,medium,1255.033
FDA31,7.1,Low Fat,0.109990885,Fruits and Vegetables,172.908,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,24.35,high,2769.728
FDE33,19.35,Regular,0.049736267,Fruits and Vegetables,76.8644,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,3.97,medium,1571.288
FDM12,16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,11.33,high,188.4214
FDW44,9.5,Regular,0.035121963,Fruits and Vegetables,168.6448,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,17.75,high,1022.6688
DRE48,8.43,Low Fat,0.017311312,Soft Drinks,197.8768,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,DR,23,23.47,high,3744.4592
NCX18,14.15,No_Fat,0.008811818,Household,196.511,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,8,13.89,high,2749.754
FDA38,5.44,Low Fat,0.025583714,Dairy,239.1538,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,43.96,very_high,480.7076
FDQ19,7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,33.01,very_high,969.4048
FDY47,8.6,Regular,0.054220618,Breads,129.131,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,15.02,medium,4933.578
FDE17,20.1,Regular,0.054410179,Frozen Foods,151.3366,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,7.53,high,2720.4588
FDY25,12.0,Low Fat,0.033974436,Canned,181.8976,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,15.16,high,4527.44
FDT03,21.25,Low Fat,0.009996872,Meat,185.5608,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,8.73,high,3123.9336
FDB49,8.3,Regular,0.030212499,Baking Goods,98.0384,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,11.81,medium,2857.6136
FDL43,10.1,Low Fat,0.027217468,Meat,76.067,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,7.53,medium,1454.773
FDE47,14.15,Low Fat,0.038123176,Starchy Foods,123.5046,OUT017,Small,Tier 2,Supermarket Type1,Not_Sure,FD,3,8.73,medium,1992.0736
FDS49,9.0,Low Fat,0.079506434,Canned,78.3644,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,8.71,medium,1728.4168
FDU23,12.15,Low Fat,0.021811987,Breads,163.6184,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,13.47,high,2311.6576
FDU38,10.8,Low Fat,0.082150145,Dairy,192.9504,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,17.87,high,7478.2656
FDV09,12.1,Low Fat,0.036012919,Snack Foods,148.0734,OUT019,Small,Tier 1,Grocery Store,Not_Sure,FD,25,12.24,high,593.8936
FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,2.28,low,452.744
FDY11,6.71,Regular,0.029560451,Baking Goods,65.8142,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,9.81,low,856.8846
FDG40,13.65,Low Fat,0.039631495,Frozen Foods,31.9558,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,2.34,low,984.7182
FDX20,7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,31.01,very_high,2037.348
FDZ27,7.935,Low Fat,0.017141985,Dairy,50.035,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,6.31,low,149.805
FDH09,12.6,Low Fat,0.056394771,Seafood,51.3982,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,4.08,low,473.3838
FDG29,17.6,Low Fat,0.056379439,Frozen Foods,42.7454,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,2.43,low,293.6178
NCA30,19.0,No_Fat,0.129534812,Household,190.1872,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,10.01,high,5105.3544
NCL53,7.5,No_Fat,0.036439878,Health and Hygiene,175.3028,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,23.37,high,3010.7476
DRE15,13.35,Low Fat,0.016765330000000002,Dairy,77.6012,OUT046,Small,Tier 1,Supermarket Type1,Perishable,DR,13,5.81,medium,986.7156
NCS38,8.6,No_Fat,0.090191431,Household,112.9176,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,NC,13,13.13,medium,458.0704
FDY21,15.1,Low Fat,0.30374337,Snack Foods,196.011,OUT019,Small,Tier 1,Grocery Store,Not_Sure,FD,25,12.98,high,589.233
FDB58,10.5,Regular,0.022590318,Snack Foods,140.6154,OUT010,Small,Tier 3,Grocery Store,Not_Sure,FD,12,13.39,high,283.6308
FDH41,9.0,Low Fat,0.082011521,Frozen Foods,213.3534,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,23.71,very_high,1935.4806
DRF23,4.61,Low Fat,0.122843005,Hard Drinks,172.4396,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,DR,11,37.41,high,1569.9564
FDE05,10.895,Regular,0.05432142,Frozen Foods,146.2102,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,13.42,high,437.4306
FDY10,17.6,Low Fat,0.049144165,Snack Foods,112.7176,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,FD,11,6.4,medium,1717.764
FDS43,11.65,Low Fat,0.040577878,Fruits and Vegetables,188.224,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,16.16,high,1304.968
NCM30,19.1,No_Fat,0.067400032,Household,41.9796,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,2.2,low,784.3124
FDY49,17.2,Regular,0.012036432,Canned,165.7184,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,9.63,high,1816.3024
FDN02,16.5,Low Fat,0.073977473,Canned,206.8638,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,12.54,very_high,2070.638
FDP37,15.6,Low Fat,0.143396175,Breakfast,128.0994,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,8.21,medium,2184.4898
NCF07,9.0,No_Fat,0.03201648,Household,99.6016,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,11.07,medium,1922.8304
FDJ09,15.0,Low Fat,0.058346234,Snack Foods,44.0744,OUT013,High,Tier 3,Supermarket Type1,Not_Sure,FD,23,2.94,low,633.8416
FDO23,17.85,Low Fat,0.14571827,Breads,94.3436,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,5.29,medium,2269.0464
FDH09,12.6,Low Fat,0.055806016,Seafood,52.4982,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,4.17,low,1209.7586
FDX34,6.195,Low Fat,0.072097449,Snack Foods,119.3098,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,FD,11,19.26,medium,1205.098
FDV60,20.2,Regular,0.117543713,Baking Goods,197.311,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,9.77,high,3338.987
FDE32,20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,1.87,low,227.7036
NCI30,20.25,No_Fat,0.0591756,Household,245.046,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,NC,1,12.1,very_high,4680.574
FDS37,7.655,Low Fat,0.031918284,Canned,117.7492,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,15.38,medium,695.0952
FDC57,20.1,Regular,0.095587976,Fruits and Vegetables,193.982,OUT019,Small,Tier 1,Grocery Store,Perishable,FD,25,9.65,high,579.246
DRC01,5.92,Regular,0.019308607,Soft Drinks,49.0692,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,8.29,low,1478.076
DRD27,18.75,Low Fat,0.023974769,Dairy,99.0042,OUT017,Small,Tier 2,Supermarket Type1,Perishable,DR,3,5.28,medium,694.4294
FDI12,9.395,Regular,0.100602552,Baking Goods,88.3856,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,9.41,medium,703.0848
FDQ33,13.35,Low Fat,0.091189915,Snack Foods,149.3708,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,11.19,high,4514.124
FDQ27,5.19,Regular,0.077480627,Meat,101.399,OUT019,Small,Tier 1,Grocery Store,Perishable,FD,25,19.54,medium,206.398
NCB07,19.2,No_Fat,0.129731747,Household,196.211,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,NC,12,10.22,high,589.233
FDC08,19.0,Regular,0.103363904,Fruits and Vegetables,226.172,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,11.9,very_high,3169.208
FDD20,14.15,Low Fat,0.020714523,Fruits and Vegetables,124.2046,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,8.78,medium,2490.092
FDS24,20.85,Regular,0.062212713,Baking Goods,88.1514,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,4.23,medium,1151.1682
FDH34,8.63,Low Fat,0.031271134,Snack Foods,186.0582,OUT017,Small,Tier 2,Supermarket Type1,Not_Sure,FD,3,21.56,high,3900.9222
NCX30,16.7,No_Fat,0.026729068,Household,248.4776,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,NC,1,14.88,very_high,6439.6176
FDM01,7.895,Regular,0.094567181,Breakfast,104.5332,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,13.24,medium,1845.5976
FDB20,7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,10.1,medium,934.7832
NCK29,5.615,No_Fat,0.126480422,Health and Hygiene,121.573,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,21.65,medium,3202.498
FDS11,7.05,Regular,0.055644887,Breads,224.9088,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,31.9,very_high,2684.5056
NCV41,14.35,No_Fat,0.028519419,Health and Hygiene,109.2228,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,NC,12,7.61,medium,221.0456
DRL60,8.52,Low Fat,0.027101431,Soft Drinks,151.7682,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,DR,11,17.81,high,2439.4912
FDV10,7.645,Regular,0.067083367,Snack Foods,44.0112,OUT017,Small,Tier 2,Supermarket Type1,Not_Sure,FD,3,5.76,low,596.5568
FDV09,12.1,Low Fat,0.020652362,Snack Foods,149.5734,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,12.36,high,2227.101
FDQ39,14.8,Low Fat,0.081042136,Meat,192.4846,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,13.01,high,5159.2842
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,DR,1,7.4,high,1366.2216
FDR45,10.8,Low Fat,0.029001987,Snack Foods,238.6222,OUT045,Small,Tier 2,Supermarket Type1,Not_Sure,FD,8,22.09,very_high,8604.7992
DRJ23,18.35,Low Fat,0.069745165,Hard Drinks,190.2872,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,DR,12,10.37,high,378.1744
FDQ26,13.5,Regular,0.068148886,Dairy,58.6562,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,4.34,low,711.0744
NCA06,20.5,No_Fat,0.144094079,Household,34.819,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,1.7,low,1061.951
FDT24,12.35,Regular,0.186616421,Baking Goods,78.6328,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,6.37,medium,1004.0264
DRG27,8.895,Low Fat,0.105323859,Dairy,39.1138,OUT045,Small,Tier 2,Supermarket Type1,Perishable,DR,8,4.4,low,609.207
FDR02,16.7,Low Fat,0.022110425,Dairy,110.8886,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,6.64,medium,3558.0352
DRG37,16.2,Low Fat,0.019374768,Soft Drinks,155.8972,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,6,9.62,high,2025.3636
FDJ07,7.26,Low Fat,0.014482278,Meat,118.115,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,16.27,medium,1864.24
FDP32,6.65,Low Fat,0.087805788,Fruits and Vegetables,126.7678,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,19.06,medium,1907.517
FDV59,13.35,Low Fat,0.048027043,Breads,218.9166,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,16.4,very_high,5660.6316
FDP60,17.35,Low Fat,0.055908268,Baking Goods,99.8016,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,5.75,medium,607.2096
FDE32,20.7,Low Fat,0.048522793,Fruits and Vegetables,39.6506,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,1.92,low,1024.6662
FDK26,5.46,Regular,0.032359413,Canned,187.424,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,34.33,high,3169.208
FDW28,18.25,Low Fat,0.088807455,Frozen Foods,197.3452,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,10.81,high,2740.4328
FDP56,8.185,Low Fat,0.046556408,Fruits and Vegetables,47.7692,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,5.84,low,640.4996
FDT25,7.5,Low Fat,0.050750977,Canned,122.2072,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,16.29,medium,1960.1152
FDQ12,12.65,Low Fat,0.035404052,Baking Goods,230.601,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,18.23,very_high,2067.309
FDR60,14.3,Low Fat,0.130390458,Baking Goods,77.2328,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,5.4,medium,231.6984
FDZ10,17.85,Low Fat,0.074422769,Snack Foods,128.002,OUT010,Small,Tier 3,Grocery Store,Not_Sure,FD,12,7.17,medium,253.004
FDM13,6.425,Low Fat,0.105742544,Breakfast,130.5626,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,20.32,medium,131.1626
FDF26,6.825,Regular,0.046729336,Canned,153.4998,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,22.49,high,2153.1972
FDN02,16.5,Low Fat,0.073470234,Canned,205.3638,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,12.45,very_high,5383.6588
NCI30,20.25,No_Fat,0.058886477,Household,245.546,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,NC,23,12.13,very_high,1724.422
NCJ31,19.2,No_Fat,0.18293775,Others,243.0196,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,NC,11,12.66,very_high,3615.294
NCQ54,17.7,No_Fat,0.020993364,Household,166.8474,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,NC,12,9.43,high,168.4474
FDB02,9.695,Regular,0.029223424,Canned,175.437,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,18.1,high,2999.429
FDC02,21.35,Low Fat,0.068489201,Canned,259.3278,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,12.15,very_high,4165.2448
FDA11,7.75,Low Fat,0.043326511,Baking Goods,95.6436,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,12.34,medium,1134.5232
DRI23,18.85,Low Fat,0.136532569,Hard Drinks,159.6578,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,DR,25,8.47,high,2888.2404
FDE04,19.75,Regular,0.018051091,Frozen Foods,179.866,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,9.11,high,2696.49
FDW38,5.325,Regular,0.23212188,Dairy,55.5298,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,10.43,low,53.9298
FDG46,8.63,Regular,0.057620562,Snack Foods,115.4518,OUT019,Small,Tier 1,Grocery Store,Not_Sure,FD,25,13.38,medium,113.8518
NCJ05,18.7,No_Fat,0.045865089,Health and Hygiene,152.3682,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,NC,25,8.15,high,2287.023
FDU01,20.25,Regular,0.021002171,Canned,185.1924,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,9.15,high,555.2772
FDY11,6.71,Regular,0.029727657,Baking Goods,66.6142,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,9.93,low,1120.5414
FDX60,14.35,Low Fat,0.080527065,Baking Goods,79.296,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,5.53,medium,719.064
NCN29,15.2,No_Fat,0.010004942777777777,Health and Hygiene,47.8034,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,3.14,low,437.4306
FDT07,5.82,Regular,0.075229446,Fruits and Vegetables,256.633,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,44.1,very_high,2050.664
FDI21,5.59,Regular,0.056833394,Snack Foods,61.9168,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,11.08,low,1214.4192
FDI41,18.5,Regular,0.062256921,Frozen Foods,148.0418,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,8.0,high,2059.9852
FDE10,6.67,Regular,0.089512542,Snack Foods,133.1626,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,19.96,medium,3672.5528
FDQ28,14.0,Regular,0.060427062,Frozen Foods,153.5656,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,10.97,high,3089.312
FDY32,7.605,Low Fat,0.216323008,Fruits and Vegetables,165.021,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,21.7,high,815.605
